City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,21.0,88,69,5.88,ZA,1675658966
1,rikitea,-23.1203,-134.9692,25.99,76,3,6.42,PF,1675658717
2,yellowknife,62.456,-114.3525,-19.69,77,100,4.63,CA,1675658748
3,ushuaia,-54.8,-68.3,5.81,65,75,4.12,AR,1675658678
4,new norfolk,-42.7826,147.0587,23.72,43,33,2.24,AU,1675658968
5,butaritari,3.0707,172.7902,27.14,81,54,8.26,KI,1675658754
6,ust-koksa,50.2696,85.6108,-6.58,92,100,0.43,RU,1675658968
7,richards bay,-28.783,32.0377,24.09,84,48,0.86,ZA,1675658969
8,deputatskiy,69.3,139.9,-39.66,99,72,2.48,RU,1675658913
9,chara,56.9064,118.2631,-21.87,93,100,1.48,RU,1675658880
10,kalemie,-5.9475,29.1947,20.22,87,79,2.23,CD,1675658969
11,busselton,-33.65,115.3333,27.55,43,0,6.92,AU,1675658748
12,avarua,-21.2078,-159.775,27.03,83,40,3.6,CK,1675658735
13,nuevo progreso,23.1667,-97.95,16.93,93,7,1.91,MX,1675658970
14,punta arenas,-53.15,-70.9167,10.06,71,75,4.63,CL,1675658851
15,port alfred,-33.5906,26.891,22.88,95,57,3.37,ZA,1675658713
16,te anau,-45.4167,167.7167,18.67,50,93,2.89,NZ,1675658855
17,victoria,22.2855,114.1577,23.31,83,98,3.13,HK,1675658858
18,port-gentil,-0.7193,8.7815,26.71,79,82,2.99,GA,1675658970
19,andenes,69.3143,16.1194,2.99,75,20,9.26,NO,1675658970
20,castro,-24.7911,-50.0119,15.26,86,13,1.86,BR,1675658809
21,husavik,66.0449,-17.3389,1.78,66,94,5.6,IS,1675658971
22,dicabisagan,17.0818,122.4157,26.22,81,78,2.59,PH,1675658971
23,guerrero negro,27.9769,-114.0611,15.19,88,94,7.67,MX,1675658971
24,mataura,-46.1927,168.8643,19.06,54,89,3.53,NZ,1675658750
25,berlevag,70.8578,29.0864,3.0,70,82,7.2,NO,1675658877
26,egvekinot,66.3167,-179.1667,-27.75,89,100,5.25,RU,1675658972
27,carnarvon,-24.8667,113.6333,28.68,59,0,8.5,AU,1675658875
28,yinchuan,38.4681,106.2731,2.88,22,2,1.35,CN,1675658972
29,bluff,-46.6,168.3333,15.62,77,86,10.77,NZ,1675658818
30,oktyabrskoye,43.0645,44.7417,-3.92,100,99,4.0,RU,1675658972
31,sinnamary,5.3833,-52.95,24.4,88,99,5.33,GF,1675658972
32,marathon,44.9,-89.7668,-6.26,82,20,0.0,US,1675658973
33,pedernales,18.0384,-71.744,24.33,65,3,3.18,DO,1675658973
34,cabo san lucas,22.8909,-109.9124,20.84,79,75,5.53,MX,1675658879
35,cape town,-33.9258,18.4232,21.62,86,20,6.69,ZA,1675658723
36,provideniya,64.3833,-173.3,-13.94,72,100,5.0,RU,1675658973
37,eureka,40.8021,-124.1637,8.34,94,67,2.68,US,1675658974
38,mar del plata,-38.0023,-57.5575,23.94,74,0,3.6,AR,1675658974
39,tiksi,71.6872,128.8694,-30.13,100,100,1.66,RU,1675658896
40,hilo,19.7297,-155.09,22.93,92,0,1.34,US,1675658974
41,flinders,-34.5833,150.8552,25.14,70,0,5.69,AU,1675658775
42,albany,42.6001,-73.9662,4.23,76,100,1.62,US,1675658897
43,hasaki,35.7333,140.8333,14.56,54,61,2.84,JP,1675658745
44,grand gaube,-20.0064,57.6608,28.54,72,90,4.47,MU,1675658773
45,severo-kurilsk,50.6789,156.125,-2.72,64,100,9.3,RU,1675658744
46,ilulissat,69.2167,-51.1,-17.99,71,100,5.66,GL,1675658854
47,freetown,8.484,-13.2299,24.73,71,100,3.46,SL,1675658975
48,tautira,-17.7333,-149.15,27.29,79,99,5.92,PF,1675658975
49,taoudenni,22.6783,-3.9836,14.01,31,86,4.04,ML,1675658975
50,grootfontein,-19.5667,18.1167,17.76,94,20,0.0,NA,1675658975
51,nome,64.5011,-165.4064,-10.96,79,40,5.14,US,1675658699
52,cidreira,-30.1811,-50.2056,21.11,87,96,2.31,BR,1675658903
53,awbari,26.5921,12.7805,7.89,62,9,2.98,LY,1675658976
54,bredasdorp,-34.5322,20.0403,21.14,86,70,5.65,ZA,1675658705
55,hay river,60.8156,-115.7999,-19.01,78,100,6.69,CA,1675658976
56,chokurdakh,70.6333,147.9167,-35.46,99,94,1.32,RU,1675658976
57,airai,-8.9266,125.4092,21.16,74,88,1.64,TL,1675658876
58,villamontes,-21.25,-63.5,24.93,55,100,2.12,BO,1675658928
59,hobart,-42.8794,147.3294,23.92,43,0,8.75,AU,1675658977
60,saint anthony,45.0205,-93.218,-6.47,81,0,0.0,US,1675658977
61,georgetown,5.4112,100.3354,27.97,78,40,7.2,MY,1675658728
62,clarence town,-32.5833,151.7833,27.95,47,0,5.29,AU,1675658977
63,labuhan,-6.8844,112.2051,26.64,82,98,3.35,ID,1675658815
64,hithadhoo,-0.6,73.0833,27.4,71,79,4.98,MV,1675658815
65,lebu,-37.6167,-73.65,15.07,89,0,7.04,CL,1675658895
66,havelock,34.8791,-76.9013,13.29,89,75,0.0,US,1675658978
67,petropavlovsk-kamchatskiy,53.0452,158.6483,-7.67,58,20,3.0,RU,1675658716
68,saldanha,-33.0117,17.9442,17.03,88,0,2.22,ZA,1675658824
69,thompson,55.7435,-97.8558,-12.91,85,100,1.54,CA,1675658978
70,roma,43.2128,-75.4557,5.4,74,100,0.0,US,1675658813
71,constitucion,-35.3333,-72.4167,15.76,79,12,1.47,CL,1675658720
72,saint-paul,-21.0096,55.2707,29.06,73,87,1.33,RE,1675658979
73,chardara,41.2547,67.9692,2.79,70,100,3.04,KZ,1675658979
74,lagoa,39.05,-27.9833,15.36,89,100,7.26,PT,1675658787
75,necochea,-38.5473,-58.7368,20.42,74,83,3.07,AR,1675658979
76,tasiilaq,65.6145,-37.6368,-4.91,91,98,4.89,GL,1675658762
77,grindavik,63.8424,-22.4338,2.26,80,75,11.83,IS,1675658948
78,puerto ayora,-0.7393,-90.3518,26.42,92,29,2.68,EC,1675658980
79,homer,59.6425,-151.5483,1.93,69,100,8.75,US,1675658980
80,westlock,54.1502,-113.8688,2.26,69,100,7.95,CA,1675658980
81,castricum,52.5483,4.6694,5.0,73,93,2.34,NL,1675658981
82,longyearbyen,78.2186,15.6401,-5.09,80,20,5.66,SJ,1675658855
83,katsuura,35.1333,140.3,11.6,46,86,2.45,JP,1675658801
84,kapaa,22.0752,-159.319,25.99,86,100,6.17,US,1675658783
85,huarmey,-10.0681,-78.1522,22.26,82,83,2.07,PE,1675658889
86,san patricio,28.017,-97.5169,18.92,93,0,3.5,US,1675658808
87,ginir,7.1333,40.7,16.67,32,64,0.09,ET,1675658981
88,rudsar,37.1376,50.288,6.99,65,100,1.16,IR,1675658981
89,atuona,-9.8,-139.0333,26.06,76,12,7.3,PF,1675658982
90,souillac,-20.5167,57.5167,27.21,78,40,3.6,MU,1675658887
91,carbonia,39.1672,8.5222,11.36,80,99,3.94,IT,1675658982
92,upernavik,72.7868,-56.1549,-26.58,93,100,6.61,GL,1675658732
93,jardim,-21.4803,-56.1381,20.88,77,11,1.13,BR,1675658982
94,wladyslawowo,54.7909,18.4009,-0.85,92,100,4.94,PL,1675658983
95,black diamond,47.3087,-122.0032,7.31,88,100,1.34,US,1675658728
96,aklavik,68.2191,-135.0107,-41.59,100,42,0.51,CA,1675658983
97,vaini,-21.2,-175.2,28.09,74,20,3.09,TO,1675658820
98,leningradskiy,69.3833,178.4167,-30.13,98,100,2.26,RU,1675658852
99,ozark,37.0209,-93.206,8.55,72,15,2.71,US,1675658984
100,rocha,-34.4833,-54.3333,15.68,94,2,2.71,UY,1675658984
101,malindi,-3.2175,40.1191,24.09,83,40,0.0,KE,1675658984
102,lethem,3.3803,-59.7968,23.6,79,100,5.2,GY,1675658984
103,zhigalovo,54.8097,105.1578,-9.67,90,100,1.95,RU,1675658985
104,vrangel,42.7297,133.0839,-1.09,40,6,3.18,RU,1675658985
105,guigue,10.0853,-67.7792,21.83,87,93,0.82,VE,1675658986
106,kavieng,-2.5744,150.7967,28.65,72,85,3.18,PG,1675658810
107,kodinar,20.7903,70.7031,26.87,35,15,3.85,IN,1675658986
108,tahoua,14.8888,5.2692,22.91,16,100,5.64,NE,1675658986
109,ialibu,-6.2821,143.9935,16.97,93,100,1.46,PG,1675658986
110,dikson,73.5069,80.5464,-17.85,97,100,1.47,RU,1675658987
111,olafsvik,64.8945,-23.7142,1.58,76,76,14.62,IS,1675658987
112,verkh-usugli,52.7,115.1667,-11.24,58,13,2.58,RU,1675658987
113,belmonte,-15.8631,-38.8828,25.12,85,0,3.46,BR,1675658931
