City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,2.77,40,0,8.23,US,1675375077
1,ribeira grande,38.5167,-28.7,16.22,82,75,8.05,PT,1675375244
2,myingyan,21.4667,95.3833,23.81,54,90,1.66,MM,1675375480
3,machinga,-15.1685,35.3,20.28,92,82,1.07,MW,1675375480
4,atuona,-9.8,-139.0333,25.92,80,64,9.67,PF,1675375253
5,singaraja,-8.112,115.0882,24.73,91,100,1.84,ID,1675375499
6,maniitsoq,65.4167,-52.9,-13.13,83,100,6.65,GL,1675375457
7,goundam,16.4145,-3.6708,19.96,10,40,5.73,ML,1675375500
8,san quintin,30.4833,-115.95,17.54,41,13,4.4,MX,1675375232
9,crotone,39.0851,17.1178,10.11,67,0,2.29,IT,1675375233
10,mingshui,36.7167,117.5,-2.04,27,4,1.97,CN,1675375500
11,roma,43.2128,-75.4557,1.32,46,76,1.79,US,1675375324
12,punta arenas,-53.15,-70.9167,19.06,42,0,11.83,CL,1675375183
13,arraial do cabo,-22.9661,-42.0278,28.98,74,20,4.63,BR,1675375255
14,velingara,13.15,-14.1167,28.02,13,69,2.99,SN,1675375501
15,airai,-8.9266,125.4092,16.11,97,100,1.3,TL,1675375283
16,usak,38.5,29.4167,0.37,59,51,1.69,TR,1675375501
17,puerto ayora,-0.7393,-90.3518,29.98,89,99,4.47,EC,1675375191
18,cape town,-33.9258,18.4232,19.23,69,0,8.23,ZA,1675375018
19,hobart,-42.8794,147.3294,12.92,83,20,5.66,AU,1675375187
20,kapaa,22.0752,-159.319,26.17,77,17,2.68,US,1675375254
21,san pedro del pinatar,37.8357,-0.791,9.6,77,0,2.68,ES,1675375501
22,ushuaia,-54.8,-68.3,19.81,42,40,4.12,AR,1675374953
23,ishurdi,24.1333,89.0833,13.91,66,70,3.48,BD,1675375502
24,osoyoos,49.0331,-119.4524,1.23,60,100,1.54,CA,1675375502
25,talara,-4.5772,-81.2719,28.42,61,0,7.2,PE,1675375503
26,bubaque,11.2833,-15.8333,25.04,70,60,6.3,GW,1675375333
27,faya,18.3851,42.4509,12.06,59,0,0.96,SA,1675375326
28,port elizabeth,-33.918,25.5701,20.17,90,75,4.63,ZA,1675375298
29,mataura,-46.1927,168.8643,25.87,52,34,1.64,NZ,1675375185
30,yining,29.0361,114.5636,3.92,86,100,0.95,CN,1675375503
